
Host: CHEMYY31VALT

Timers On : Tue May 14 14:09:24 2024
Timers Off: Tue May 14 14:09:35 2024

Wall Time:       10.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.083u      0.000s      0.067w      9 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.021w     27 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      9 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      9 calls
HF: Guess                           :      0.133u      0.050s      0.106w      9 calls
SAD Guess                           :      0.117u      0.050s      0.102w      9 calls
HF: Form G                          :      0.050u      0.000s      0.017w    108 calls
JK: D                               :      0.000u      0.000s      0.000w    108 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    108 calls
JK: JK                              :      0.050u      0.000s      0.015w    108 calls
PK computes JK                      :      0.050u      0.000s      0.014w    108 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    108 calls
HF: Form F                          :      0.000u      0.000s      0.000w    108 calls
HF: Form D                          :      0.000u      0.000s      0.000w    108 calls
HF: DIIS                            :      0.467u      0.217s      3.042w     99 calls
HF: Form C                          :      0.000u      0.000s      0.013w     99 calls
ccenergy                            :      0.583u      2.667s      2.106w      9 calls
F build                             :      0.067u      0.150s      0.082w    108 calls
Wmbej build                         :      0.083u      0.183s      0.155w    108 calls
C->Wmbej                            :      0.000u      0.067s      0.007w    108 calls
F->Wmbej                            :      0.033u      0.083s      0.105w    108 calls
E->Wmbej                            :      0.000u      0.033s      0.018w    108 calls
X->Wmbej                            :      0.050u      0.000s      0.022w    108 calls
Z                                   :      0.017u      0.000s      0.007w    108 calls
T2 Build                            :      0.117u      0.283s      0.322w    108 calls
BT2                                 :      0.050u      0.117s      0.163w    108 calls
ABCD:new                            :      0.050u      0.117s      0.162w    108 calls
ABCD:S                              :      0.000u      0.000s      0.010w    108 calls
ABCD:A                              :      0.017u      0.033s      0.010w    108 calls
ABCD:axpy                           :      0.033u      0.083s      0.131w    108 calls
FT2                                 :      0.017u      0.000s      0.010w    108 calls
WmbejT2                             :      0.033u      0.083s      0.039w    108 calls
CT2                                 :      0.017u      0.033s      0.074w    108 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.083u      0.000s      0.067w      9 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     18 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      9 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      9 calls
HF: Guess                           :      0.133u      0.050s      0.106w      9 calls
| SAD Guess                         :      0.117u      0.050s      0.102w      9 calls
HF: Form G                          :      0.050u      0.000s      0.017w    108 calls
| JK: D                             :      0.000u      0.000s      0.000w    108 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    108 calls
| JK: JK                            :      0.050u      0.000s      0.015w    108 calls
| | PK computes JK                  :      0.050u      0.000s      0.014w    108 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    108 calls
HF: Form F                          :      0.000u      0.000s      0.000w    108 calls
HF: Form D                          :      0.000u      0.000s      0.000w    108 calls
HF: DIIS                            :      0.467u      0.217s      3.042w     99 calls
HF: Form C                          :      0.000u      0.000s      0.013w     99 calls
